news_id,title,text,direction,event_type,trigger_score,horizon,assets
2024-06-01-rbc-001,Сбербанк сообщил о росте прибыли в первом квартале,"Сбербанк опубликовал финансовые показатели за первый квартал 2024 года, сообщив о росте чистой прибыли на 18%",bullish,earnings,70,1-3d,SBER
2024-06-02-kommersant-002,Правительство объявило о введении экспортных пошлин на металлургов,"Министерство финансов объявило о введении временных экспортных пошлин на продукции российских металлургических компаний.",bearish,regulation,80,1-3d,metal;POLY
2024-06-03-ved-003,Газпром предупреждает о снижении поставок газа в Европу,"Газпром заявил о возможном сокращении экспорта газа в Европу из-за ремонтных работ на газопроводе.",bearish,macro,65,<1m,GAZP
2024-06-04-tass-004,Минфин выпустил разъяснения по снижению налога для IT-компаний,"Министерство финансов опубликовало письмо о продлении налоговых льгот для российских IT-компаний на 2025 год.",bullish,regulation,45,<1m,IT
2024-06-05-interfax-005,Лукойл завершает крупный ремонт на нефтеперерабатывающем заводе,"Лукойл сообщил о завершении планового ремонта на НПЗ и скором выходе на проектную мощность.",neutral,operations,35,intraday,LKOH
2024-06-06-ria-006,ЦБ РФ повысил ключевую ставку на 100 б.п.,"Банк России неожиданно повысил ключевую ставку на 100 базисных пунктов, сославшись на рост инфляционных рисков.",bearish,macro,85,1-3d,bank
2024-06-07-bloomberg-007,Норникель инвестирует в модернизацию комбината,"ГМК Норникель объявил о запуске трёхлетней программы модернизации производственных мощностей стоимостью 1,5 млрд долларов.",bullish,operations,62,<1m,GMKN
2024-06-08-ria-008,США расширили санкции против российского энергетического сектора,"Министерство финансов США добавило в санкционный список ряд российских энергетических компаний и их дочерние структуры.",bearish,sanctions,78,1-3d,energy
2024-06-09-ved-009,Совет директоров МосБиржи рекомендовал дивиденды выше прогноза,"Московская биржа предложила выплатить дивиденды за 2024 год на 15% выше консенсус-прогноза аналитиков.",bullish,dividends,73,1-3d,MOEX
2024-06-10-interfax-010,Росстат сообщил о замедлении инфляции в июне,"Инфляция в России замедлилась до 0,2% в июне, что ниже ожиданий рынка и прогноза Центробанка.",bullish,macro,48,<1m,index
2024-06-11-forbes-011,Сбербанк рассматривает покупку финтех-стартапа,"Сбербанк ведёт переговоры о покупке финтех-стартапа в сфере платежей для расширения экосистемы.",bullish,mna,58,<1m,SBER
2024-06-12-kommersant-012,Регулятор ввёл временную администрацию в региональный банк,"Банк России ввёл временную администрацию в региональный банк из-за нарушения нормативов достаточности капитала.",bearish,default,82,1-3d,bank
